Link,University Name,Nickname,Founded,Location,Division,Specialization,Ph.d Granting,Type
http://bau.edu.bd,Bangladesh Agricultural University,BAU,1961,Mymensingh,Mymensingh division,Agricultural Science,Yes,Public
https://bsmrau.edu.bd,Bangabandhu Sheikh Mujibur Rahman Agricultural University,BSMRAU,1998,Gazipur,Dhaka division,Agricultural Science,Yes,Public
http://sau.edu.bd,Sher-e-Bangla Agricultural University,SAU,2001,Dhaka,Dhaka division,Agricultural Science,Yes,Public
http://www.cvasu.ac.bd,Chittagong Veterinary and Animal Sciences University,CVASU,2006,Chittagong,Chittagong division,Veterinary Science,Yes,Public
http://sau.ac.bd,Sylhet Agricultural University,SAU,2006,Sylhet,Sylhet division,Agricultural Science,Yes,Public
http://kau.edu.bd,Khulna Agricultural University,KAU,2019,Khulna,Khulna division,Agricultural science,Yes,Public
https://en.m.wikipedia.org/wiki/Habiganj_Agricultural_University,Habiganj Agricultural University,HAU,2020,Habiganj,Sylhet division,Agricultural science,Yes,Public
http://buet.ac.bd,Bangladesh University of Engineering & Technology,BUET,1962,Dhaka,Dhaka division,Engineering,Yes,Public
http://www.cuet.ac.bd,Chittagong University of Engineering & Technology,CUET,2003,Chittagong,Chittagong division,Engineering,Yes,Public
http://www.ruet.ac.bd,Rajshahi University of Engineering & Technology,RUET,2003,Rajshahi,Rajshahi division,Engineering,Yes,Public
http://kuet.ac.bd,Khulna University of Engineering & Technology,KUET,2003,Khulna,Khulna division,Engineering,Yes,Public
http://duet.ac.bd,Dhaka University of Engineering & Technology,DUET,2003,Gazipur,Dhaka division,Engineering,Yes,Public
https://du.ac.bd/,University of Dhaka,DU,1921,Dhaka,Dhaka division,General,Yes,Public
http://www.ru.ac.bd/,University of Rajshahi,RU,1953,Rajshahi,Rajshahi division,General,Yes,Public
http://cu.ac.bd,University of Chittagong,CU,1966,Chittagong,Chittagong division,General,Yes,Public
http://www.juniv.edu/,Jahangirnagar University,JU,1970,Savar,Dhaka division,General,Yes,Public
http://iu.ac.bd,Islamic University,IU,1979,Kushtia,Khulna division,General and Theological and STEM,Yes,Public
http://ku.ac.bd,Khulna University,KU,1991,Khulna,Khulna division,General,Yes,Public
http://jnu.ac.bd,Jagannath University,JnU,2005,Dhaka,Dhaka division,General,Yes,Public
http://jkkniu.edu.bd,Jatiya Kabi Kazi Nazrul Islam University,JKKNIU,2006,Mymensingh,Mymensingh division,General,Yes,Public
http://cou.ac.bd,Comilla University,CoU,2006,Comilla,Chittagong division,General,Yes,Public
http://brur.ac.bd,Begum Rokeya University,BRU,2008,Rangpur,Rangpur division,General,Yes,Public
http://bup.edu.bd,Bangladesh University of Professio,BUP,2008,Dhaka,Dhaka division,General,Yes,Public
